feed_name,category,dry_matter_pct,crude_protein_pct,crude_fibre_pct,ndf_pct,adf_pct,adl_pct,starch_pct,ether_extract_pct,ash_pct,energy_mj_kg,calcium_g_kg,phosphorus_g_kg,source
Maize Grain,Concentrate,88.0,9.5,2.2,12.0,3.5,0.8,72.0,3.8,1.8,12.5,0.3,3.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Maize Silage,Silage,32.5,8.8,24.0,48.0,28.0,3.8,24.5,2.8,6.8,9.7,3.8,2.4,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Hybrid Napier,Green Roughage,18.5,9.2,27.5,57.0,33.0,4.6,2.0,2.2,10.5,8.5,5.0,2.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Sorghum Fodder,Green Roughage,24.0,7.2,30.5,62.0,36.0,5.1,3.5,1.8,9.0,8.2,4.0,2.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Sorghum Silage,Silage,30.0,7.5,26.0,54.0,32.0,4.8,18.0,2.2,7.5,8.8,4.0,2.1,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Bajra Fodder,Green Roughage,20.0,8.0,29.0,58.0,34.0,4.9,2.5,1.9,9.2,8.3,4.2,2.1,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Guinea Grass,Green Roughage,20.0,8.8,31.0,64.0,38.0,5.2,1.8,1.7,11.0,7.9,4.8,2.2,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Para Grass,Green Roughage,17.0,7.8,30.0,65.0,37.0,5.0,1.5,1.6,11.5,7.7,4.1,2.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Oat Fodder,Green Roughage,19.0,10.5,25.0,52.0,30.0,3.9,4.2,2.5,9.0,9.1,4.6,2.8,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Berseem,Green Roughage,15.0,18.5,21.0,42.0,26.0,3.5,2.1,2.8,12.0,9.4,14.5,3.2,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Lucerne,Green Roughage,20.0,20.0,22.5,44.0,28.0,4.8,2.0,2.6,10.8,9.1,15.0,3.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Cowpea Fodder,Green Roughage,16.5,16.5,23.0,46.0,30.0,4.2,2.8,2.4,11.2,8.9,13.0,3.1,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Hedge Lucerne,Green Roughage,23.0,19.0,24.0,48.0,31.0,5.0,2.2,2.5,9.8,8.6,16.0,2.8,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Azolla,Green Supplement,7.5,24.5,14.0,38.0,22.0,3.1,1.5,3.5,16.0,9.8,18.0,5.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Paddy Straw,Dry Roughage,90.0,3.8,36.0,72.0,48.0,6.8,1.2,1.2,16.5,6.4,3.5,1.2,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Wheat Straw,Dry Roughage,91.0,3.5,37.5,74.0,50.0,7.2,1.0,1.0,10.5,6.1,3.0,1.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Sorghum Stover,Dry Roughage,89.0,4.5,34.0,68.0,44.0,6.0,2.0,1.4,8.8,7.0,4.0,1.4,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Maize Stover,Dry Roughage,88.5,5.0,33.0,66.0,42.0,5.8,2.5,1.5,8.0,7.3,4.2,1.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Ragi Straw,Dry Roughage,89.5,4.0,35.0,70.0,46.0,6.5,1.5,1.3,9.5,6.8,7.5,1.3,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Ragi Grain,Concentrate,88.5,7.3,3.6,18.0,6.5,1.2,65.0,1.5,2.7,11.2,3.4,2.8,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Sugarcane Tops,Dry Roughage,86.0,4.2,32.5,65.0,40.0,5.5,3.0,1.6,9.5,7.1,4.5,1.6,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Cottonseed Cake Decorticated,Concentrate,90.0,38.0,12.0,30.0,18.0,3.5,8.0,7.5,6.5,11.2,2.5,11.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Cottonseed Cake Undecorticated,Concentrate,90.0,22.0,24.0,48.0,32.0,5.2,5.0,6.0,5.8,9.4,2.0,8.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Mustard Cake,Concentrate,91.0,36.0,9.5,26.0,16.0,4.0,9.5,8.0,7.8,10.9,7.0,10.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Groundnut Cake,Concentrate,92.0,44.0,6.5,20.0,11.0,2.8,11.0,8.5,6.0,11.8,2.8,6.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Soybean Meal,Concentrate,90.0,48.0,5.5,15.0,9.0,2.2,12.0,1.5,6.5,11.8,3.2,6.8,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
