Feed-ID,Experiment-ID,Feed-code-within-experiment,Experiment-number,Feed-name,Feed-category,Detailed-feed-category-INRA2018,Dry-matter-(g/kg),Organic-matter-(g/kg-DM)-,Ash-(g/kg-DM),Crude-protein-(g/kg-DM),Crude-fibre-(g/kg-DM),NDF-(g/kg-DM),ADF-(g/kg-DM),ADL-(g/kg-DM),Starch-(g/kg-DM)
E01_F01,E01,F01,8308,"Dactylis glomerata, period 1",forage,fresh_herbage,129.0,876.0,124.0,189.0,293.0,602.0,257.0,,
E01_F02,E01,F02,8308,"Dactylis glomerata + Trifolium repens, period 2",forage,fresh_herbage,125.0,866.0,134.0,200.0,257.0,473.0,245.0,,
E01_F03,E01,F03,8308,"Dactylis glomerata, period 3",forage,fresh_herbage,192.0,882.0,118.0,173.0,297.0,679.0,305.0,,
E01_F04,E01,F04,8308,"Dactylis glomerata + Trifolium repens, period 4",forage,fresh_herbage,192.0,888.0,112.0,243.0,170.0,387.0,213.0,,
E02_F01,E02,F01,8413,"Trifolium repens, cycle 2, 33 days of regrowth",forage,fresh_herbage,112.0,875.0,125.0,242.0,220.0,505.0,233.0,,
E02_F02,E02,F02,8413,"Trifolium repens, cycle 2, 47 days of regrowth",forage,fresh_herbage,161.0,889.0,111.0,214.0,209.0,509.0,270.0,,
E02_F03,E02,F03,8413,"Trifolium repens, cycle 2, 61 days of regrowth",forage,fresh_herbage,225.0,899.0,101.0,194.0,219.0,428.0,314.0,,
E02_F04,E02,F04,8413,"Trifolium repens, cycle 3, 14 days of regrowth",forage,fresh_herbage,125.0,891.0,109.0,295.0,168.0,360.0,188.0,,
E03_F01,E03,F01,8506a,"Trifolium repens, cycle 1, vegetative",forage,fresh_herbage,,873.0,127.0,256.0,181.0,422.0,,,
E03_F02,E03,F02,8506a,"Trifolium repens, cycle 1, beginning of flowering",forage,fresh_herbage,,870.0,130.0,241.0,198.0,410.0,,,
E03_F03,E03,F03,8506a,"Trifolium repens, cycle 1, flowering",forage,fresh_herbage,,869.0,131.0,215.0,213.0,412.0,235.0,,
