Cattle_ID,Breed,Region,Country,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Milk_Yield_L
CATTLE_000006,Jersey,Oceania,IN,Continental,Mixed,81,629.4,5,Late,166,Pasture_Grass,9.6,1,54.4,3.76,8.5,8.9,5.9,25.3,81.4,Monsoon,0.36,0,1,1,1,1,1,0,0,11.88,3.0,24,2024-11-26,FARM_0750,10.59
CATTLE_000022,Gangatiri,Oceania,IN,Subtropical,Mixed,110,427.6,4,Early,192,Silage,15.7,5,54.8,2.87,6.4,7.1,5.0,-1.1,87.1,Winter,0.64,1,1,1,1,1,0,1,0,1.03,3.5,12,2023-07-09,FARM_0244,0.84
CATTLE_000033,Zebu_Cross_Brazil,Global,IN,Tropical,Extensive,38,731.4,4,Late,185,Silage,10.7,1,80.7,2.88,8.8,8.0,13.9,33.9,75.5,Winter,0.33,0,1,1,0,1,0,0,1,14.91,3.0,12,2022-04-17,FARM_0976,12.06
CATTLE_000044,Red_Poll_Africa,South_Asia,IN,Subtropical,Extensive,63,317.6,5,Late,240,Hay,14.8,3,45.8,5.28,5.7,8.6,9.1,45.0,79.6,Spring,0.51,0,0,1,0,0,1,1,1,4.6,3.5,12,2022-09-28,FARM_0035,3.2
CATTLE_000098,Girolando,Global,IN,Mediterranean,Intensive,39,373.3,6,Late,90,Concentrates,12.2,3,48.3,3.86,7.5,8.1,7.5,45.0,80.8,Autumn,0.97,1,1,1,0,1,1,1,1,10.87,4.0,12,2022-10-04,FARM_0058,10.02
CATTLE_000099,Zebu_Cross_Brazil,South_Asia,IN,Subtropical,Extensive,113,262.1,6,Late,328,Pasture_Grass,17.0,5,77.4,1.43,1.7,4.0,7.8,36.7,49.8,Spring,0.98,0,1,0,0,0,1,1,0,8.23,3.0,12,2023-10-01,FARM_0235,7.17
CATTLE_000111,Ayrshire,South_Asia,IN,Tropical,Intensive,103,735.5,5,Mid,359,Hay,5.0,5,39.9,6.33,4.5,11.2,13.4,28.6,50.6,Summer,0.7,1,1,1,1,0,1,0,0,9.38,5.0,12,2023-01-18,FARM_0436,9.46
CATTLE_000123,Normande,Africa,IN,Tropical,Pastoral,98,361.6,6,Early,149,Dry_Fodder,19.3,4,65.4,1.33,6.3,6.1,12.5,32.3,65.4,Summer,0.72,1,1,0,0,1,1,1,1,17.56,4.0,12,2023-10-04,FARM_0178,12.83
CATTLE_000135,Kankrej,South_Asia,IN,Continental,Semi_Intensive,128,254.2,4,Late,114,Pasture_Grass,13.6,2,37.3,5.2,1.4,7.9,5.8,11.0,36.6,Spring,0.45,0,1,1,1,1,1,0,1,2.89,3.5,12,2024-12-22,FARM_0047,3.27
CATTLE_000139,Girolando,South_America,IN,Arid,Pastoral,60,281.8,2,Early,71,Hay,11.1,3,78.0,5.11,9.0,6.4,11.2,31.8,49.7,Autumn,0.97,0,0,0,1,0,0,1,1,19.7,3.5,12,2024-06-14,FARM_0243,17.94
CATTLE_000156,Gangatiri,South_Asia,IN,Mediterranean,Pastoral,118,265.7,5,Early,6,Dry_Fodder,16.0,2,64.4,2.55,8.1,11.6,8.8,14.1,80.7,Spring,0.76,1,0,1,1,1,0,0,0,3.54,4.0,12,2022-04-01,FARM_0020,2.0
CATTLE_000175,Simmental,Global,IN,Temperate,Semi_Intensive,64,634.1,3,Mid,253,Pasture_Grass,12.1,5,81.6,1.81,8.2,10.4,10.1,13.3,68.7,Winter,0.39,0,0,0,0,0,0,0,1,19.4,4.0,12,2023-10-29,FARM_0043,21.28
CATTLE_000191,Red_Sindhi,Oceania,IN,Arid,Intensive,28,639.9,4,Early,337,Concentrates,13.7,1,90.2,9.06,6.0,8.3,11.0,37.2,47.2,Monsoon,0.74,1,1,1,0,1,1,1,0,2.25,3.5,12,2022-09-16,FARM_0573,4.99
CATTLE_000192,Zebu_Cross_Brazil,South_Asia,IN,Arid,Mixed,46,338.5,4,Early,285,Pasture_Grass,8.0,5,65.7,2.7,6.4,5.4,13.7,6.3,34.3,Winter,0.51,1,1,0,1,1,1,1,1,10.65,2.5,12,2024-07-01,FARM_0414,13.16
