species,breed_type,body_weight_kg,daily_milk_yield_kg,milk_fat_percent,fcm_4pct_kg,req_dmi_kg_per_day,req_tdn_kg_per_day,req_me_mj_per_day,req_cp_g_per_day,req_calcium_g_per_day,req_phosphorus_g_per_day,icar_standard_reference
Cattle,Indigenous_Zebu,300,0,4.0,0.0,6.6,2.45,37.0,302.8,15.0,10.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,0,4.5,0.0,6.6,2.45,37.0,302.8,15.0,10.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,0,5.0,0.0,6.6,2.45,37.0,302.8,15.0,10.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,5,4.0,5.0,8.25,4.05,61.2,727.8,30.0,20.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,5,4.5,5.38,8.25,4.17,63.0,759.6,31.1,21.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,5,5.0,5.75,8.25,4.29,64.8,791.5,32.2,22.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,10,4.0,10.0,9.9,5.65,85.3,1152.8,45.0,30.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,10,4.5,10.75,9.9,5.89,88.9,1216.5,47.2,32.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,10,5.0,11.5,9.9,6.13,92.6,1280.3,49.5,33.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,15,4.0,15.0,11.55,7.25,109.5,1577.8,60.0,40.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,15,4.5,16.12,11.55,7.61,114.9,1673.4,63.4,42.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,15,5.0,17.25,11.55,7.97,120.3,1769.0,66.8,45.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,20,4.0,20.0,13.2,8.85,133.6,2002.8,75.0,50.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,20,4.5,21.5,13.2,9.33,140.9,2130.3,79.5,53.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,300,20,5.0,23.0,13.2,9.81,148.1,2257.8,84.0,56.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,0,4.0,0.0,7.7,2.75,41.5,339.9,17.5,12.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,0,4.5,0.0,7.7,2.75,41.5,339.9,17.5,12.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,0,5.0,0.0,7.7,2.75,41.5,339.9,17.5,12.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,5,4.0,5.0,9.35,4.35,65.7,764.9,32.5,22.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,5,4.5,5.38,9.35,4.47,67.5,796.7,33.6,23.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,5,5.0,5.75,9.35,4.59,69.3,828.6,34.8,23.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,10,4.0,10.0,11.0,5.95,89.8,1189.9,47.5,32.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,10,4.5,10.75,11.0,6.19,93.5,1253.6,49.8,33.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,10,5.0,11.5,11.0,6.43,97.1,1317.4,52.0,35.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,15,4.0,15.0,12.65,7.55,114.0,1614.9,62.5,42.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,15,4.5,16.12,12.65,7.91,119.4,1710.5,65.9,44.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,15,5.0,17.25,12.65,8.27,124.9,1806.1,69.2,46.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,20,4.0,20.0,14.3,9.15,138.2,2039.9,77.5,52.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,350,20,4.5,21.5,14.3,9.63,145.4,2167.4,82.0,55.2,ICAR-2013/2024 Dairy Nutrition Guidelines
