animal_id,state,agro_climatic_zone,species,breed,breed_type,age_months,body_weight_kg,parity,lactation_stage,days_in_milk,pregnancy_status,basal_milk_yield_kg,basal_milk_fat_pct,basal_dry_fodder_kg,basal_green_fodder_kg,basal_concentrate_kg,basal_mineral_mixture_g,basal_total_dmi_kg,basal_feed_cost_inr,rec_dry_fodder_kg,rec_green_fodder_kg,rec_silage_kg,rec_concentrate_kg,rec_mineral_mixture_g,rec_total_dmi_kg,rec_feed_cost_inr,daily_cost_saving_inr,post_balancing_milk_yield_kg,post_balancing_milk_fat_pct,daily_net_economic_gain_inr,ration_balanced_status,study_source
NDDB_RBP_00001,Haryana,Northern,Cattle,Jersey_Cross,Crossbred,101,484.6,5,Early,35,0,13.56,4.08,5.7,20.4,4.6,30.0,13.35,209.63,4.8,24.8,12.0,6.6,50.0,19.06,308.16,-98.53,15.37,4.28,-17.45,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00002,Gujarat,Western,Cattle,Red_Sindhi,Indigenous_Zebu,51,384.3,5,Late,250,0,11.67,4.66,5.7,21.7,3.3,0.0,12.44,176.29,4.9,27.1,8.0,5.9,50.0,17.7,281.77,-105.48,13.4,4.93,-25.27,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00003,Punjab,Northern,Cattle,Red_Sindhi,Indigenous_Zebu,102,414.4,2,Mid,103,0,14.76,4.82,6.7,11.2,4.9,20.0,12.68,203.89,5.7,15.1,12.0,7.1,50.0,18.38,306.57,-102.68,15.55,5.2,-49.02,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00004,Maharashtra,Western,Cattle,Tharparkar,Indigenous_Zebu,31,423.0,6,Early,68,0,11.83,4.47,9.4,19.3,5.8,0.0,17.54,263.76,8.4,26.7,8.0,5.9,50.0,20.77,307.14,-43.38,12.53,4.67,-6.76,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00005,Tamil_Nadu,Southern,Buffalo,Mehsana,Buffalo,109,499.0,5,Early,67,0,12.69,7.47,7.9,13.3,3.5,0.0,12.92,179.51,6.0,19.2,12.0,7.5,50.0,19.83,328.24,-148.73,13.83,7.69,-93.24,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00006,Gujarat,Western,Cattle,Kankrej,Indigenous_Zebu,64,464.0,1,Late,275,1,11.56,4.67,8.9,15.4,2.8,20.0,13.61,175.03,7.1,19.7,8.0,5.8,50.0,18.11,279.39,-104.36,12.82,4.89,-45.2,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00007,Gujarat,Western,Cattle,Kankrej,Indigenous_Zebu,76,434.5,6,Mid,145,1,10.93,4.61,7.5,16.3,4.0,0.0,13.61,196.11,6.1,20.4,12.0,5.6,50.0,18.45,282.23,-86.12,12.17,4.84,-27.8,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00008,Tamil_Nadu,Southern,Cattle,Tharparkar,Indigenous_Zebu,44,381.1,3,Early,43,0,9.6,4.43,6.7,11.9,5.8,0.0,13.63,227.23,5.3,14.6,12.0,5.0,50.0,16.03,247.87,-20.64,10.85,4.63,35.54,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00009,Karnataka,Southern,Buffalo,Jaffarabadi,Buffalo,91,634.4,1,Late,297,1,16.36,7.86,5.5,16.1,4.0,0.0,11.77,180.67,4.7,20.4,12.0,9.4,50.0,20.61,370.53,-189.86,18.72,8.09,-82.96,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00010,Gujarat,Western,Buffalo,Murrah,Buffalo,91,536.5,1,Early,66,0,10.47,7.5,8.3,11.8,6.0,20.0,15.23,245.81,7.0,15.6,0.0,6.4,50.0,15.18,257.22,-11.41,11.03,7.74,20.46,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00011,Punjab,Northern,Cattle,Gir,Indigenous_Zebu,82,434.5,4,Late,232,1,9.94,4.67,8.5,12.9,5.0,30.0,14.73,224.53,7.0,18.7,0.0,5.2,50.0,14.72,232.84,-8.31,10.97,4.84,38.29,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00012,Gujarat,Western,Cattle,Gir,Indigenous_Zebu,99,405.7,5,Late,273,1,13.42,4.41,7.5,12.7,4.8,30.0,13.61,211.39,6.7,16.5,8.0,6.6,50.0,17.83,290.15,-78.76,15.35,4.59,5.63,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00013,Gujarat,Western,Buffalo,Mehsana,Buffalo,60,485.1,6,Mid,113,0,9.83,6.67,9.4,16.2,3.4,0.0,14.76,194.54,7.2,23.1,0.0,6.1,50.0,16.59,267.42,-72.88,11.19,6.87,-12.25,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00014,Punjab,Northern,Buffalo,Mehsana,Buffalo,109,544.0,3,Mid,166,1,15.1,7.35,9.2,19.4,4.8,0.0,16.48,236.48,6.9,23.8,8.0,8.8,50.0,21.45,364.91,-128.43,17.33,7.57,-28.44,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00015,Maharashtra,Western,Cattle,Sahiwal,Indigenous_Zebu,109,452.3,5,Mid,183,0,10.14,4.4,6.2,14.4,5.1,20.0,13.05,212.38,5.3,19.3,12.0,5.3,50.0,17.24,266.01,-53.63,11.16,4.71,-1.03,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00016,Tamil_Nadu,Southern,Cattle,HF_Cross,Crossbred,80,496.7,6,Late,278,1,25.13,3.85,7.8,15.9,3.2,0.0,13.08,176.68,6.4,21.4,12.0,11.3,50.0,24.05,434.88,-258.2,28.01,4.04,-127.47,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00017,Tamil_Nadu,Southern,Cattle,Red_Sindhi,Indigenous_Zebu,66,389.6,5,Mid,195,1,14.86,4.53,6.7,12.3,3.4,20.0,11.55,167.31,5.2,16.5,8.0,7.1,50.0,16.93,291.9,-124.59,16.86,4.91,-22.96,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00018,Maharashtra,Western,Buffalo,Murrah,Buffalo,52,566.1,2,Mid,141,1,16.77,7.54,8.3,18.4,3.8,0.0,14.57,201.53,6.6,24.0,0.0,9.6,50.0,19.38,355.9,-154.37,19.06,7.92,-38.38,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00019,Karnataka,Southern,Buffalo,Jaffarabadi,Buffalo,74,575.2,4,Late,278,1,16.16,7.89,6.9,14.5,2.8,20.0,11.63,158.05,5.9,18.6,0.0,9.3,50.0,17.4,330.97,-172.92,17.84,8.11,-93.38,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
